id,primary_type
3804629,悬疑
1945330,科幻
1308752,动作
1422283,剧情
3008247,剧情
1292849,剧情
1769507,剧情
1295646,喜剧
1292206,剧情
1303418,喜剧
1296909,喜剧
1292969,剧情
26766869,动画
3560787,剧情
1316626,短片
6846495,剧情
3823425,剧情
1300395,剧情
3734350,喜剧
1867742,短片
1304310,喜剧
2123439,传记
30376877,动画
1431947,动画
30210248,喜剧
3338821,喜剧
6313765,动画
3262918,剧情
1298270,纪录片
3335371,动画
1464067,动画
1428577,剧情
1291858,剧情
6786002,剧情
26752088,剧情
1303037,剧情
1310177,剧情
4202302,动画
5989818,剧情
1297359,动画
1858711,喜剧
26700818,喜剧
26344688,爱情
26799731,剧情
1293456,剧情
1418834,剧情
1303535,剧情
3154003,剧情
1421278,剧情
30257175,剧情
1293145,剧情
27119586,剧情
1304648,剧情
1298817,喜剧
1293764,剧情
1301026,冒险
1295865,剧情
1295586,西部
1293394,剧情
25787888,剧情
1296636,爱情
1296666,喜剧
1293566,剧情
1297602,冒险
1302522,动作
3804891,剧情
3626372,剧情
1298521,剧情
1298134,动作
1291831,剧情
1291818,剧情
1291568,剧情
1306861,剧情
1299361,剧情
1293270,剧情
10777687,剧情
4719384,剧情
1291545,剧情
1296703,剧情
1297447,爱情
1316510,喜剧
1292287,动作
1292328,剧情
1294417,剧情
1301168,剧情
1306490,剧情
1297223,喜剧
1298443,剧情
1301198,动作
25919910,剧情
1293475,剧情
1307812,动作
1297863,喜剧
1306951,喜剧
1296629,爱情
1292704,剧情
1297763,喜剧
1294561,喜剧
1297304,动作
1306249,喜剧
1297518,剧情
1303394,剧情
30409439,剧情
4099231,动画
1310159,剧情
11627068,剧情
1298733,剧情
1293936,犯罪
1293841,剧情
1293226,剧情
1293973,爱情
1296845,剧情
1293381,剧情
1295451,黑色电影
1298505,犯罪
1394342,剧情
1294756,犯罪
1293582,犯罪
