id,score
30210691,7.5
1478064,7.6
10746175,7.3
20443013,7.3
1292213,9.2
1294371,9.3
1291828,9.2
3319755,9.1
1293839,9.1
1293908,9.3
1292434,9.1
1297880,9.2
1299398,9.0
1292679,9.0
1485260,9.0
1291549,9.3
20495023,9.1
20326557,9.4
24733428,8.7
25773932,8.7
1293399,8.7
5300054,8.6
6874403,8.6
3007773,8.6
35048413,8.6
1308086,8.6
1292048,8.5
1310179,8.9
1294565,8.7
1900840,8.6
1898223,8.4
2131459,9.3
25958717,9.3
25662329,9.2
1291560,9.2
1295038,9.2
1291583,9.2
1307315,9.2
1929463,9.1
2129039,9.1
1308807,9.1
3011235,9.0
1401118,9.2
11525673,8.9
1428581,9.2
1293749,9.3
1395091,9.1
1291544,8.9
25964630,9.1
1291566,9.2
27040774,9.2
1292226,8.9
1291844,8.8
1300117,8.8
4920389,8.7
11026735,8.7
3217169,8.9
6803494,8.7
3552028,8.7
1309016,8.7
1294753,8.8
1418519,8.8
1295742,8.7
1299062,8.6
6538866,8.5
1309017,8.6
1449711,9.0
1457219,8.6
25761178,8.4
1292943,8.6
1972729,8.3
3882427,8.4
1293155,8.4
3023164,8.3
1307535,8.4
1291992,8.9
1417598,8.8
1292547,8.9
1292225,8.3
1309045,8.3
3011308,8.2
1306809,8.2
1303083,8.6
1301459,8.2
1300868,8.2
30234315,8.2
10485526,8.2
1299765,8.1
1302393,8.2
1293852,8.2
1474189,8.1
1418752,8.0
3804629,8.0
1945330,8.0
1308752,8.0
1422283,9.5
3008247,9.2
1292849,9.1
1769507,9.2
1295646,9.2
1292206,9.2
1303418,9.3
1296909,8.9
1292969,9.1
26766869,9.4
3560787,9.3
1316626,9.4
6846495,9.2
3823425,9.2
1300395,9.2
3734350,9.1
1867742,9.3
1304310,9.2
2123439,9.3
30376877,9.5
1431947,9.0
30210248,9.1
3338821,9.0
6313765,9.0
3262918,9.0
1298270,9.3
3335371,8.9
1464067,9.2
1428577,8.9
1291858,9.3
6786002,9.3
26752088,9.0
1303037,9.0
1310177,9.0
4202302,8.9
5989818,8.9
1297359,8.9
1858711,8.9
26700818,9.4
26344688,9.1
26799731,8.9
1293456,8.9
1418834,8.8
1303535,8.8
3154003,8.9
1421278,8.8
30257175,8.7
1293145,8.7
27119586,8.6
1304648,8.6
1298817,9.2
1293764,9.0
1301026,9.2
1295865,8.8
1295586,8.9
1293394,8.7
25787888,8.6
1296636,8.7
1296666,8.5
1293566,8.5
1297602,8.6
1302522,8.4
3804891,8.3
3626372,8.3
1298521,8.4
1298134,8.4
1291831,9.4
1291818,9.2
1291568,9.1
1306861,9.0
1299361,9.1
1293270,9.2
10777687,8.9
4719384,9.3
1291545,8.8
1296703,9.0
1297447,8.8
1316510,8.7
1292287,8.7
1292328,8.6
1294417,8.5
1301168,8.4
1306490,8.6
1297223,8.3
1298443,8.3
1301198,8.3
25919910,8.2
1293475,8.2
1307812,8.3
1297863,8.1
1306951,8.1
1296629,8.1
1292704,8.1
1297763,8.0
1294561,8.0
1297304,8.0
1306249,8.7
1297518,8.7
1303394,8.6
30409439,8.8
4099231,8.5
1310159,8.4
11627068,8.2
1298733,8.8
1293936,8.6
1293841,8.7
1293226,8.5
1293973,8.3
1296845,8.4
1293381,8.2
1295451,8.2
1298505,8.1
1394342,8.3
1294756,8.1
1293582,8.0
